Linear,Digital,Overlap
30245,12904,128
30245,13711,134
30245,14517,143
30245,15324,147
30245,16131,153
30245,16937,159
30245,17744,161
30245,18550,166
30245,19357,177
30245,20163,184
30245,20970,192
30245,21776,204
30245,22583,211
30245,23389,220
30245,24196,227
30245,25003,235
30245,25809,247
30245,26616,251
30245,27422,257
30245,28229,264
30245,29035,270
30245,29842,281
30245,30648,293
30245,31455,299
30245,32262,306
30245,33068,314
30245,33875,325
30245,34681,331
30245,35488,337
30245,36294,342
30245,37101,345
30245,37907,352
30245,38714,362
30245,39520,372
30245,40327,379
30245,41134,387
30245,41940,393
30245,42747,401
30245,43553,412
30245,44360,422
30245,45166,430
30245,45973,431
30245,46779,438
30245,47586,448
30245,48393,458
30245,49199,466
30245,50006,473
30245,50812,478
30245,51619,485
30245,52425,490
30245,53232,496
30245,54038,502
30245,54845,512
30245,55651,516
30245,56458,528
30245,57265,534
30245,58071,544
30245,58878,547
30245,59684,555
30245,60491,562
30245,61297,568
30245,62104,576
30245,62910,587
30245,63717,593
30245,64524,600
30245,65330,614
30245,66137,623
30245,66943,632
30245,67750,640
30245,68556,645
30245,69363,653
30245,70169,658
30245,70976,664
30245,71782,674
30245,72589,683
30245,73396,691
30245,74202,705
30245,75009,715
30245,75815,723
30245,76622,731
30245,77428,737
30245,78235,749
30245,79041,761
30245,79848,774
30245,80655,780
32262,0,0
32262,806,2
32262,1613,15
32262,2419,19
32262,3226,27
32262,4032,36
32262,4839,43
32262,5645,52
32262,6452,61
32262,7258,72
32262,8065,79
32262,8872,90
32262,9678,98
32262,10485,105
32262,11291,118
32262,12098,127
32262,12904,135
32262,13711,142
32262,14517,151
32262,15324,158
32262,16131,164
32262,16937,171
32262,17744,173
32262,18550,178
32262,19357,189
32262,20163,198
32262,20970,207
32262,21776,220
32262,22583,227
32262,23389,237
32262,24196,245
32262,25003,253
32262,25809,265
32262,26616,269
32262,27422,275
32262,28229,283
32262,29035,289
32262,29842,300
32262,30648,312
32262,31455,319
32262,32262,326
32262,33068,334
32262,33875,345
32262,34681,351
32262,35488,357
32262,36294,363
32262,37101,367
32262,37907,374
32262,38714,384
32262,39520,394
32262,40327,401
32262,41134,409
32262,41940,416
32262,42747,424
32262,43553,435
32262,44360,445
32262,45166,453
32262,45973,454
32262,46779,461
32262,47586,473
32262,48393,483
32262,49199,491
32262,50006,499
32262,50812,504
32262,51619,511
32262,52425,516
32262,53232,522
32262,54038,529
32262,54845,539
32262,55651,544
32262,56458,556
32262,57265,562
32262,58071,573
32262,58878,576
32262,59684,585
32262,60491,593
32262,61297,599
32262,62104,607
32262,62910,619
32262,63717,625
32262,64524,632
32262,65330,646
32262,66137,655
32262,66943,665
32262,67750,675
32262,68556,680
32262,69363,689
32262,70169,694
32262,70976,700
32262,71782,713
32262,72589,723
32262,73396,733
32262,74202,747
32262,75009,757
32262,75815,765
32262,76622,773
32262,77428,782
32262,78235,795
32262,79041,807
32262,79848,821
32262,80655,828
34278,0,0
34278,806,3
34278,1613,16
34278,2419,21
34278,3226,29
34278,4032,38
34278,4839,46
34278,5645,56
34278,6452,65
34278,7258,77
34278,8065,85
34278,8872,96
34278,9678,104
34278,10485,111
34278,11291,125
34278,12098,134
34278,12904,142
34278,13711,149
34278,14517,158
34278,15324,165
34278,16131,171
34278,16937,178
34278,17744,180
34278,18550,187
34278,19357,198
34278,20163,207
34278,20970,216
34278,21776,231
34278,22583,238
34278,23389,250
34278,24196,259
34278,25003,267
34278,25809,279
34278,26616,283
34278,27422,290
34278,28229,301
34278,29035,307
34278,29842,319
